Question,Option_A,Option_B,Option_C,Option_D
The number of real values of a satisfying the equation a^2-2asin x+1 = 0 is,Zero,One,Two,Infinite
For positive integers n_1|n_2the value of the expression  (1+i)^n_1+(1+i^3)^n_1+(1+i^5)^n_2+(1+i^7)^n_2where i = sqrt-1  is a real number if and only if IIT 1996,n_1 = n_2+1,n_1 = n_2-1,n_1 = n_2,n_1>0|n_2>0
Given that the equation z^2+(p+iq)z+r+i|s = 0| where p|q|r|s are real and non-zero has a real root| then,pqr = r^2+p^2s,prs = q^2+r^2p,qrs = p^2+s^2q,pqs = s^2+q^2r
If x = -5+2sqrt-4| then the value of the expression  x^4+9x^3+35x^2-x+4 is IIT 1972,160,-160,60,-60
If sqrt3+i = (a+ib)(c+id)| then tan ^-1left( b/a right)+ tan ^-1left( d/c right) has the value,pi /3+2npi |nin I,npi +pi /6|nin I,npi -pi /3|nin I,2npi -pi /3|nin I
If a = cos alpha +i|sin alpha |||b = cos beta +i|sin beta |c = cos gamma +i|sin gamma ||textand||b/c+c/a+a/b = 1| then cos (beta -gamma )+cos (gamma -alpha )+cos (alpha -beta ) is equal to RPET 2001,3/2,- 3/2,0,1
If (1+i)(1+2i)(1+3i).....(1+ni) = a+ib| then        2.5.10....(1+n^2)  is equal to  Karnataka CET 2002; Kerala (Engg.) 2002,a^2-b^2,a^2+b^2,sqrta^2+b^2,sqrta^2-b^2
If z is a complex number| then the minimum value of |z|+|z-1| is Roorkee 1992,1,0,1/2,None of these
For any two complex numbers z_1andz_2 and any real numbers a and b; |(az_1-bz_2)|^2+|(bz_1+az_2)|^2 =  IIT 1988,(a^2+b^2)(|z_1|+|z_2|),(a^2+b^2)(|z_1/|^2+|z_2/|^2),(a^2+b^2)(|z_1/|^2-|z_2/|^2),None of these
The locus of zsatisfying the inequality log _1/3|z+1||> log _1/3|z-1| is,R|(z)<0,R|(z)>0,I|(z)<0,None of these
If z_1 = a+ib and z_2 = c+id are complex numbers such that  |z_1|| = ||z_2| = 1 and R(z_1overlinez_2) = 0| then the pair of complex numbers w_1 = a+ic and w_2 = b+id satisfies IIT 1985,|w_1| = 1,|w_2| = 1,R(w_1overlinew_2) = 0|,All the above
Letzand w be two complex numbers such that |z||le 1| |w||le 1and|z+iw|| = ||z-ioverlinew| = 2. Then z is equal to IIT 1995,1 or i,i or -i,1 or - 1,ior -1
The maximum distance from the origin of coordinates to the point z satisfying the equation left| z+1/z right| = ais,1/2(sqrta^2+1+a),1/2(sqrta^2+2+a),1/2(sqrta^2+4+a),None of these
Find the complex number z satisfying the equations left| z-12/z-8i right| = 5/3|left| z-4/z-8 right| = 1 Roorkee 1993,6,6pm 8i,6+8i||6+17i,None of these
If z_1|z_2|z_3 are complex numbers such that |z_1|| = ||z_2|| =  ||z_3|| =  left| 1/z_1+1/z_2+1/z_3 right| = 1|| thentext |z_1+z_2+z_3| is MP PET 2004; IIT Screening 2000,Equal to 1,Less than 1,Greater than 3,Equal to 3
If z_1 = 10+6i|z_2 = 4+6i and z is a complex number such that ampleft( z-z_1/z-z_2 right) = pi /4| then the value of |z-7-9i| is equal to IIT 1990,sqrt2,2sqrt2,3sqrt2,2sqrt3
If z_1|z_2|z_3be three non-zero complex number| such that z_2ne z_1|a = |z_1||b = |z_2| and c = |z_3| suppose that left| beginmatrix    a & b & c      b & c & a      c & a & b   endmatrix right| = 0| then  argleft( z_3/z_2 right) is equal to,argleft( z_2-z_1/z_3-z_1 right)^2,argleft( z_2-z_1/z_3-z_1 right),argleft( z_3-z_1/z_2-z_1 right)^2,argleft( z_3-z_1/z_2-z_1 right)
Let z and w be the two non-zero complex numbers such that |z|| = ||w| and arg|z+arg|w = pi . Then z is equal to IIT 1995; AIEEE 2002,w,-w,overlinew,-overlinew
If  |z-25i|le 15|  then |max .amp(z)-min .amp(z)| =,cos ^-1left( 3/5 right),pi -2cos ^-1left( 3/5 right),pi /2+cos ^-1left( 3/5 right),sin ^-1left( 3/5 right)-cos ^-1left( 3/5 right)
